,author_id,text
2013-04-03 14:51:52.279625730,1325172194796859392,mitt ønske for staten norge og alle innbyggere er død og elendighet . håper dere blir bombet vekk fra kartet . det er min  « bønn ». 
2013-04-03 16:30:19.239731204,1360551197619462145,"# sv i regjering , har jeg heldigvis ingen tru på . velferdseksplosjon - med de på lag . skattlegging all mass . "
2013-04-03 20:13:26.141067268,1350448732043681794,"nordbyholtan sv_karin svparti innlandetsv vi kan ikke la private barnehagedrivere bestemme hvor mange barnehageplasser vi trenger i kommunen ! rådmannens tall og størrelsen på barnekull viser at vi har nok plasser med buffer , slik det er i dag ! "
2013-04-03 21:06:17.378824195,417174714,martinsahlen robusthet er et veldig godt forslag ! 
2013-04-03 21:14:08.193601536,1350448732043681794,- det er ingen grunn til å gi utleiere koronastøtte . denne type virksomhet bør ut av koronastøtteordninga og svparti vil fremme forslag om dette i forbindelse med behandlinga av krisepakka på  i stortinget . sv_karin  # fordemange  
2013-04-03 22:02:51.170496512,1320100460502634497,"hvis du skulle vært et ord , hvilket ord skulle du vært ?😇 ( jeg skulle selvfølgelig vært føkk , pga kult og tøft ) "
2013-04-03 22:11:55.322789898,1324019953926897665,"henrikfrenrik andersheger nei . du tar bare rett og slett feil . jeg har ikke vokst opp med sølvskje i munnen , har fagbrev , men er også bedriftseier . jeg mener å ha noe kunnskap om det jeg snakker om . du har opplagt ikke det . "
2013-04-03 22:14:53.706530820,1324019953926897665,mimirk ytringsfrihet er viktig . her snakker du sant  ✌🏻 
2013-04-03 22:17:55.252801536,1341789186135887872,2sporten molde er et motbydelig lag . 
2013-04-03 23:34:47.548526593,11534522,"aft_meninger : - det grønne skiftet er for mange blitt synonymt med  « reduksjon av klimagassutslipp , koste hva det koste vil », men det "
2013-04-04 00:03:10.427512838,1320100460502634497,kleinrusser drøye er kult !! :) 
2013-04-04 00:30:12.100706304,1350448732043681794,"nordbyholtan sv_karin svparti innlandetsv dersom du viser til den siste undersøkelsen foretatt i innlandet var det kun private barnehager som ble undersøkt , altså ingen kommunale . men i trysil handler det om struktur og antall plasser , vi har ikke hatt kvaliteten oppe til behandling , og heller ikke satt spmtegn ved den "
2013-04-04 01:14:37.975085060,1345307964735975425,king kenny i full fart i løypa  🐾 
2013-04-04 01:16:15.232622593,1320100460502634497,mohamabd86 : første uke etter at sats har åpnet igjen . 
2013-04-04 01:23:34.426644483,1345307964735975425,"vigleikm spent på å høre om boken , lest en bok av den forfatteren ... var muligens uheldig , men ikke imponert  📖 enjoy  💪👍 "
2013-04-04 01:56:03.100213252,493456530,"bareenmann frp_no venstre er det mulig for dere å regjere med venstre en gang til ? jeg forstår hva du mener , men er velgerne deres villige til det ? "
2013-04-04 02:17:23.289935874,33167260,"odahaukaas ho_derre vet du at de voksne mennene faktisk vil det ? ville mennene valgt å gifte seg med barn , om mennene sto fritt til å velge ? "
2013-04-04 02:21:15.645968389,493456530,"electograph : 🇳🇴 # norway  | parliamentary election poll

 🟦 h 23 . 1 % ( 44 ) 🟥 ap 20 . 3 % ( 38 ) 🟨 sp 17 . 7 % ( 34 ) 🟪 frp 12 . 9 % ( 24 ) 🟫 sv 7 . 8 % ( 15 ) 🟨… "
2013-04-04 02:24:52.688576516,2725020430,r_grete anneholmen mtetone revetal ibjerc elimlian knutwhermansen pertopai mannsperson espenred god natt til deg 😊 
2013-04-04 02:25:15.463696394,1357054433784389636,"dagfinnhessenp ketamin , ketadin , keta-allesammen-sin ! flott at det offentlige også kan tjene penger , eller tilby behandling med i økende grad godt dokumenterte effekter , som det også kalles . honnør til dere som har stått i stormen lenge . "
2013-04-04 02:37:28.934223873,1341789186135887872,arilasos molde_fk molde er et motbydelig lag med motbydelige spillere . 
2013-04-04 02:54:28.154298368,1357054433784389636,kennethkhaug er det innafor hvis jeg ser på ulovlig saudi arabisk strøm ? hvis ikke må det vel bli nei . 
2013-04-04 03:35:05.070026758,1320100460502634497,"datomerking å , det er kjempefint ! :) "
2013-04-04 03:47:14.946072576,1148589260628529153,bartefjes regel  :( 
2013-04-04 04:00:50.218135558,136980577,"hørt om  # visjon2030 ? det er en skikkelig bra støtteordning hvis du har et prosjekt som kan bidra til å løse utfordringer innen helse og utdanning i utviklingsland . joa , fristen er mandag - there is still time ! "
2013-04-04 05:02:05.548290049,25867735,"eivindtraedal : det er bare i norge folk ikke begynner å le hvis du sier  "" vi skal redde klimaet ved å drive oljeplattformer med "
2013-04-04 05:15:48.214890499,1255884669071110145,eivindtraedal ved midnatt kommer det høyeste døgnsmittetallet for norge på over en måned . oslo har hatt to 24-timersperioder på rad med 191 tilfeller . dette i følge tall fra msis . 
2013-04-04 05:45:09.176651783,1255884669071110145,den stigende smittetrenden i norge fortsetter . ved midnatt kommer det høyeste antallet registrerte smittede for landet i løpet av ett døgn på over en måned . i oslo har det nå vært to 24-timersperioder med 191 tilfeller på rad . 
2013-04-04 06:30:08.836173829,1320100460502634497,i påsken feirer vi at jesus lærte å legge egg  🎉 
2013-04-04 06:41:15.998937088,2415875454,"husk å se bak deg av og til : på den måten kan du se hvor langt du har kommet ; stiene du valgte som hjalp deg til å lære , vokse og komme dit du er nå på reisen din . nytt blogginnlegg  ( på engelsk ): "
2013-04-04 06:49:45.946611718,1320100460502634497,"gleder meg til etter pandemien når vi kommer ut i samfunnet igjen og stirrer på hverandre med undring i blikket , med øyne som sier  "" wtf "" 🥰 "
2013-04-04 06:54:27.980017672,1191025618055520256,gode nyheter alle sammen ! golfstrømmen går dunken . på tide å gjøre noe ? 
2013-04-04 07:36:59.857522691,969146402713587712,paljettbitch sidecut er så fett da ! særlig i kombinasjon med hårfargen din  🤩 
2013-04-04 07:42:34.177105920,969146402713587712,.... oooog sånn ved nærmere ettertanke var denne ekstremt mye morsommere i hodet mitt rip 
2013-04-04 08:14:29.883539459,969146402713587712,laugums_ helt sikkert !! men synes nå folka som designer jentelusflaskene burde ha vært litt mer kreative i markedsføringen sin  😤 
2013-04-04 08:25:58.386921473,969146402713587712,laugums_  👀👀👀 jeg aner en stor mulighet for å plugge min kunstnerbakgrunn her 
2013-04-04 08:30:46.028042244,1148589260628529153,pov : du har en god oppvekst  
2013-04-04 08:47:38.730143746,2470136607,linetomter : selskap innen langtidsutleie ville mistet 2 millioner kroner i koronastøtte hvis inntektene steg med 55 . 000 kroner . 
2013-04-04 08:50:06.323507201,969146402713587712,"laugums_ trenger ikke betalt i $$$ , trenger bare betalt i smilene til søte transfeminine  ( som er sånn ca alle , let's be real here ) "
2013-04-04 08:54:28.626968576,30691617,jonasali trist å lese . håper du kommer tilbake senere 
2013-04-04 08:55:20.598573057,969146402713587712,"jegerlilla laugums_ hormone replacement therapy betyr at man bytter hormoner seg i mellom , sant ? det er sånn det funker , ja ? "
2013-04-04 09:22:59.940720643,1172619799517704196,jonasali du er en god og dyktig stemme . håper dette ikke legger noen demper på engasjementet ditt . 
2013-04-04 09:24:36.946587652,1310533649385820161,kennethuteliv den æ så bra ! 🥰🤩🤣👌🏼 
2013-04-04 09:25:59.045890049,969146402713587712,"cjentoft laugums_ her er mitt foreløpige designkonsept , nei jeg tar ikke konstruktiv kritikk  "
2013-04-04 09:31:58.405435393,969146402713587712,paljettbitch finnes ikke noe som heter too much når det kommer til fancy hårfrisyrer imho 
2013-04-04 09:35:27.759962112,153540072,ivariskogen bjofur mariusfla rømte/frikjent  🤷‍♂️ 
2013-04-04 09:42:11.725983744,1320763463409520640,"kvampeder arilasos molde_fk du er vel kanskje rbk eller vif tilhenger du , peut être ? "
2013-04-04 09:51:51.789842434,1320763463409520640,"erlinghaaland molde_fk hm ... kanskje vurdere lån til molde kommende sesong erlinghaaland  ? bare sånn , lite forslag liksom ?😀 "
2013-04-04 09:57:57.650571264,1305730812130865153,"forhn : vinden snur kommer for første på vgtv kl . 19 . tilgjengelig for alle som har canal digital , get , altibox og flere andre tjenester .… "
2013-04-04 09:59:29.572937737,1305730812130865153,"dagfinnhessenp : ad påstanden fra robinkass om at ingen soner i fengsel for brukerdoser i dag , kan man lese følgende i "
2013-04-04 10:02:34.730487808,1305730812130865153,minervanett : debatt : folkehelseinstituttet er blitt oppfattet som kritiske til den foreslåtte rusreformen . men fhis høringsuttalelse 
2013-04-04 10:03:18.300921859,1305730812130865153,bdyrdal : det som irriterer meg mest med slike utspill fra politiet  er at vi aldri tar oss bryet med å følge opp de gode 
2013-04-04 10:03:51.473688579,1305730812130865153,"bdyrdal : om du ikke har tid eller lyst til å lese og respondere på alle de andre gode svarene du har fått ellenkatrineh  , så bør du "
2013-04-04 10:05:33.487529988,1305730812130865153,malawolf : det må bli slutt på politisk aktivisme i uniform . denne rolleblandingen er kritisert kraftig ved flere tidligere anledninger .… 
2013-04-04 10:06:54.013972485,1305730812130865153,"pascualstr : hey senterpartiet 
 «[ utroskap ] har store konsekvensar for enkeltindividet , for familie og venner ». straff kan sikkert "
2013-04-04 10:07:26.729555976,1305730812130865153,"karleldar : glad for at min fagforening , psykologforeningen , støtter rusreformen ! det var viktig ! "
2013-04-04 10:07:58.186782720,1305730812130865153,kamzygunaratnam : « rusreformen handler om sånne som oss » annasab1980 vgnett arbeiderpartiet  # straffskader  # ru … 
2013-04-04 10:16:27.836715008,1320763463409520640,martineggen : perioden 2021 – 2030 er verdens tiår for restaurering av økosystemer . kan vi stole på myndighetens forsikringer om at vi 
2013-04-04 10:21:21.786060801,1320763463409520640,"martineggen har lyst å si ja , vi kan stole på at de gjør alvor av det ! men , magefølelsen min sier at penger desverre går foran miljøbevaring ... "
2013-04-04 10:23:47.361964034,36678662,rotevatn er det noen vits å bruke dyrekjøpt fornybar energi og milliarder av kroner på å flytte klimagassutslippene fra norges største utslippskilde ? 
2013-04-04 10:31:41.658054661,969146402713587712,i kveld er en sånn kveld jeg savner å kunne møte folk irl tbh 
2013-04-04 10:34:39.903391747,969146402713587712,"gjør jo egentlig det alltid nå for tiden men aiiii , denne kvelden especially av en eller annen grunn "
