,author_id,text
2013-04-03 13:59:58.113751041,183356975,"baardamundsen jveberg du tillegger oss mening om at vi ønsker mest mulig biler i by . det vi jobber for er at bilene som fins skal være elektriske . mangel på lading hindrer ikkje bilhold , men er effektiv måte å fremme fossilbiler på "
2013-04-03 14:11:37.807544320,1346506400252518400,du imponerer i og utenfor hoppbakken marenlundby - gratulerer med vm-sølv  🥈👏🇳🇴 📸 alex_henn oberstdorf2021 norskijump  # likemuligheter  # lo  # rsm  # coop  # thon  
2013-04-03 14:18:16.908152836,183356975,olavtorvund baardamundsen feil . ingen andre enn elbilistene selv betaler for egne biler . og elbilister i borettslag betaler for egen strøm . 
2013-04-03 15:38:08.334385153,183356975,olavtorvund baardamundsen sist vi sjekka betalte elbilistene stort sett også bompenger og trafikkforsikringsavgift . men kjedelig med debatt når ein skal vere presis 
2013-04-03 17:19:16.955418624,946741131332800513,"erna_solberg tipper 60-årene vil bringe en hyggelig jobb i europa et sted med  € 500 . 000 i lønn uten personskatt , privatsjåfør , og en gratis grandios bolig og alt det andre som hører med . alt betalt av europas skattebetalere ! til lykke ! "
2013-04-03 17:25:41.434662917,1359262138947239939,"helgheimjon tror nå alle forstår at du ikke har noe på stortinget å gjøre ! du lever på skattebetalernes regning og er innvandrer til oslo og ønsker og komme på stortinget for oslo  ! rask karriere for en innvandrer ! du  , listhaug og gjedde er dyre for partiet ! ødeleggende ! "
2013-04-03 17:40:06.035857411,1359262138947239939,"helgheimjon tror nå alle forstår at du ikke har noe på stortinget å gjøre ! du lever på skattebetalernes regning og er innvandrer til oslo og ønsker og komme på stortinget for oslo  ! rask karriere for en innvandrer ! du  , listhaug og gjedde er dyre for partiet ! ødeleggende ! "
2013-04-03 20:13:26.141067268,1350448732043681794,"nordbyholtan sv_karin svparti innlandetsv vi kan ikke la private barnehagedrivere bestemme hvor mange barnehageplasser vi trenger i kommunen ! rådmannens tall og størrelsen på barnekull viser at vi har nok plasser med buffer , slik det er i dag ! "
2013-04-03 20:35:39.191492611,28875514,barn er de letteste å hjernevaske : 
2013-04-03 21:14:08.193601536,1350448732043681794,- det er ingen grunn til å gi utleiere koronastøtte . denne type virksomhet bør ut av koronastøtteordninga og svparti vil fremme forslag om dette i forbindelse med behandlinga av krisepakka på  i stortinget . sv_karin  # fordemange  
